title,issues,first_issue,last_issue,publisher,language,note,issues_urls,magazine_url
Golden Disk 64,"1/88, 2/88, 3/88, 4/89, 5/89, 6/89, 7/90, 8/90, 9/90, 10/90, 11/90, 12/90, 1/91, 2/91, 3/91, 4/91, 5/91, 6/91, 7/91, 8/91, 9/91, 10/91, 11/91, 12/91, 1/92, 2/92, 3/92, 4/92, 5/92, 6/92, 1/93, 2/93, 3/93, 4/93, 5/93, 6/93, 1/94, 2/94, 3/94, 4/94, 5/94, 6/94, 1/95, 2/95, 3/95, 4/95, 5/95, 6/95, GE",1/88,2/96 ?,CP Verlag,Deutsch,"Erschien zuerst unter dem Namen Magic Disk Sonderheft, einige Ausgaben später dann als Golden Disk 64.","https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=7223, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9839, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=7361, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=7098, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=7099, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9840, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=4554, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=7100, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=7101, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9841, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=7102, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9842, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=4555, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9843, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9878, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9844, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=7103, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=6322, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9845, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=11032, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9846, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9847, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9848, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9849, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9879, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9880, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9881, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=6701, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9882, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=6198, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9883, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=6199, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9884, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9885, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9886, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9887, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9888, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9889, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9890, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9891, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9892, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9893, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=3279, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9894, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9895, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9335, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9896, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9897, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9898",https://www.kultboy.com/Golden-Disk-64-Zeitschrift/140/
Highscore,"Nr. 1, Nr. 2, Nr. 3, Nr. 6, Nr. 7",Nr.1 (1992),,WS-Verlag,Deutsch,,"https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=11033, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=11034, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=12914, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=11035, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=11036",https://www.kultboy.com/Highscore-Zeitschrift/633/
Magic Disk 64,"12/87, 1/88, 2/88, 3/88, 4/88, 5/88, 6/88, 7/88, 8/88, 9/88, 10/88, 11/88, 12/88, 1/89, 2/89, 3/89, 4/89, 5/89, 6/89, 7/89, 8/89, 9/89, 10/89, 11/89, 12/89, 1/90, 2/90, 3/90, 4/90, 5/90, 6/90, 7/90, 8/90, 9/90, 10/90, 11/90, 12/90, 1/91, 2/91, 3/91, 4/91, 5/91, 6/91, 7/91, 8/91, 9/91, 10/91, 11/91, 12/91, 1/92, 2/92, 3/92, 5/92x, 6/92, 7/92x, 9/92, 10/92, 11/92, 12/92, 1/93, 2/93, 3/93, 4/93x, 6/93, 7/93x, 9/93, 10/93, 11/93, 1/92, 2/92, 1/93, 2/93",12/87,11/93,CP Verlag,Deutsch,,"https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9956, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9957, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9958, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=6558, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9959, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9960, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9961, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9962, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9963, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9964, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9965, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9966, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9967, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=5371, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9968, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=5372, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=5373, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=7360, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=5374, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9969, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9970, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9971, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=7104, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=7105, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=5375, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=7106, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=7107, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=5376, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=7108, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=7109, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=7110, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=5213, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=7111, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=5214, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=6200, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=6201, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=6202, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=5281, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=7112, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=7113, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=6203, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=7114, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=7115, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=7116, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9972, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9973, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9974, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=6204, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=6205, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9975, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9976, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=6206, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9437, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=6207, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=6208, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=6702, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9977, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9978, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9979, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9980, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9981, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9982, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9983, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9984, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9985, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9986, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9987, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9988, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=10213, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=8095, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9989, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9990",https://www.kultboy.com/Magic-Disk-64-Zeitschrift/294/
Magic Disk Classic 64,"8/95, 9/95, 10/95, 11/95, 12/95, 1/96",8/95,1/96,Computec Media AG,Deutsch,Nachfolger der Magic Disk 64.,"https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=6144, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=6145, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=6146, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=6315, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=6147, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=6316",https://www.kultboy.com/Magic-Disk-Classic-64-Zeitschrift/336/
PC Action (Diskmag),"8/90, 9/92, 1/93, 2/93, 3/93, 4/93, 6/93, 7/93x, 9/93, 10/93, 2/94, 4/94, 5/94, 7/94, 10/94, 1/95, 2/95, 3/95, 4/95",4/90,4/95,Computec Media AG,Deutsch,,"https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=14940, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=14826, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=4747, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=4748, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=4749, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=4750, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=4751, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=15185, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=4752, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=4753, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=4754, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=14909, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=4755, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=14910, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=14911, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=4756, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=14912, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=14913, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=14914",https://www.kultboy.com/PC-Action-Diskmag-Zeitschrift/262/
PC Games CD ROM,"9/94, 10/94, 11/94, 12/94, 1/95, 2/95, 3/95, 4/95, 5/95, 6/95, 7/95, 8/95, 9/95, 10/95, 11/95, 12/95, 1/96, 2/96, 3/96, 4/96, 5/96, 6/96, 7/96, 8/96, 9/96, 2/95, 1/96",9/94,9/96,Computec Media AG,Deutsch,,"https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9438, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=10202, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=10203, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=10204, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=4193, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=10205, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=4194, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=4195, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=6181, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=4196, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=4197, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=4198, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9278, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=13437, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=11210, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=10336, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=13328, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=5596, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=6183, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=5597, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=5598, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=13438, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=5599, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=13439, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=13842, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=9279, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=6648",https://www.kultboy.com/PC-Games-CD-ROM-Zeitschrift/214/
PC Highlights,"Nr. 10, Nr. 11",Nr. 1 (Jahr ?),,,Deutsch,,"https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=11605, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=11606",https://www.kultboy.com/PC-Highlights-Zeitschrift/662/
Public,"Nr. 1, Nr. 2, Nr. 3, Nr. 4, Nr. 5, Nr. 6, Nr. 7, Nr. 8, Nr. 9, Nr. 10, Nr. 11, Nr. 12, Nr. 13, Nr. 14, Nr. 15",Nr. 1 (1-2/1991),,,Deutsch,,"https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=15365, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=15366, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=15367, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=10162, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=15368, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=10163, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=10164, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=10165, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=10166, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=10167, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=10168, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=10169, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=10170, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=10171, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=10172",https://www.kultboy.com/Public-Zeitschrift/575/
Super Dimensions,"Nr. 1, Nr. 2, Nr. 3, Nr. 4, Nr. 5, Nr. 6, Nr. 7, Nr. 8, Nr. 9, Nr. 11, Nr. 12, Nr. 13, Nr. 14, Nr. 15",Nr.1 (10/90),,Logo-Software GmbH,Deutsch,,"https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=12693, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=5284, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=11047, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=11048, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=11049, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=11050, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=11051, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=11052, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=11053, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=11054, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=11055, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=11056, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=11057, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=11058",https://www.kultboy.com/Super-Dimensions-Zeitschrift/297/
Zzzack64,"Nr. 1, Nr. 2, Nr. 3",Nr. 1 (Jahr 1992),,STW & Partner Verlagsgesellschaft,Deutsch,,"https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=10010, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=11039, https://www.kultboy.com/index.php?site=kult/kultmags&km=show&id=10326",https://www.kultboy.com/Zzzack64-Zeitschrift/561/
